Text,Text1,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID1,SoundKitID2,EmoteId1,EmoteId2,EmoteId3,EmoteDelay1,EmoteDelay2,EmoteDelay3,VerifiedBuild
"Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.",2524,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Greetings.  I'm a gnome mage trainer, and you're a mage.","Greetings.  I'm a gnome mage trainer, and you're a mage.",2525,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Well met, $c.  You want some advice?  Befriend a mage!  We have a trick or two up our sleeves, we do...","Well met, $c.  You want some advice?  Befriend a mage!  We have a trick or two up our sleeves, we do...",2526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Greetings.  I'm an undead mage trainer, and you're a mage.","Greetings.  I'm an undead mage trainer, and you're a mage.",2527,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.",2528,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Greetings, $c.  Are you here to learn of the hidden arts?","Greetings, $c.  Are you here to learn of the hidden arts?",2529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Greetings, $c.  I pity your kind, for the secrets of true magic are beyond you...","Greetings, $c.  I pity your kind, for the secrets of true magic are beyond you...",2530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
,It is not yet your time. I shall aid your journey back to the realm of the living... for a price.,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"With the sanction of Lord Varimathras, the Deathstalkers' numbers grow. More blades to strike at our enemies when they least expect it.","With the sanction of Lord Varimathras, the Deathstalkers' numbers grow. More blades to strike at our enemies when they least expect it.",2546,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"What do you want, $c? I'm running late, and my employer doesn't look kindly on tardiness.",,2588,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Yes, I am. What's it to you?",,2590,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"The Shattered Hand will see the Horde to their former glory, unhindered by the timidness of the Warchief.","The Shattered Hand will see the Horde to their former glory, unhindered by the timidness of the Warchief.",2602,1,0,0,0,0,0,0,0,5,0,0,0,0,0,40618
"Naralex sleeps again!$b$bLong ago, Naralex journeyed to this cavern with the honorable goal of entering the Emerald Dream and regrowing the Barrens into a lush forest. His focus waned and his thoughts became tainted by serpentine visions.$b$bNow, reptilian beasts seep from his dreams to the land. He must be awoken from the nightmare or he will be forever lost, and a great evil unleashed.$b$bOnly after his corrupted servants, the Fanglords, have been slain can I perform the awakening ritual.~~",,2660,0,0,0,0,0,0,0,0,1,1,1,0,0,0,40618
"The Fanglords are dead! All hope is not lost!$b$bThe awakening ritual is quite complex, however. It cannot be done alone.$b$bI will handle all of the necessary preparations but I will need you to protect me. The nightmares summoned from Naralex's journey through the Emerald Dream prove to be quite formidable. Without your help, this mission is doomed.$b$bWhen you are ready to defend me, say the word, and I shall lead the way to Naralex's chamber.",,2661,0,0,0,0,0,0,0,0,1,1,1,0,0,0,40618
"The machine adjusts to face you.$B$BOn the back of the machine is an empty, oddly misshapen slot with an engraving that reads: ""Propirtee o' Cap'n Gelkak Gyromast""",,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Hey!  Are you on an errand for Tirth?  If I were you I'd get as far away from him as I could!  His mind's been pickled from too much drink but his magic's as strong as ever!,,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Sure, I'll tell you the phrase.  As long as I don't have to go anywhere near Tirth!",,2721,0,0,0,0,0,0,0,0,22,0,0,2000,0,0,40618
Gelkak's key slides into the vacant slot.,,2741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Do you mock me while I am unable to defend myself, bound to this ball of iron?",,2742,1,0,0,0,0,0,0,0,25,0,0,0,0,0,40618
One of the humans has the key to this infernal contraption. Eston I think they said his name was.,,2744,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Get away from here, $c, or they'll put you in chains as well.",,2745,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
Marlgen... One of the jailors. He has the key to my bonds.,,2747,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"The Bank of Stormwind is located in the Trade District just northwest of the city gates. Here, let me show you on your map.","The Bank of Stormwind is located in the Trade District just northwest of the city gates. Here, let me show you on your map.",2750,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
I wish the snow would just all melt away. It's always getting my robe wet and messing up everything!,,2751,7,0,0,0,0,0,0,0,22,0,0,0,0,0,40618
"Stupid snow... Hey, you're, $n, aren't you? I've just received a message asking for you.",,2752,7,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"You've been summoned by Lago Blackwrench, warlock master of Ironforge. You'd do yourself well to report to him immediately. You'll find him in the Forlorn Cavern district of the city.",,2754,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Greetings $R, I am Tharnariun Treetender.",,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If you ask me, I think the goblins are a shoe in.  We have the tools, and we have the talent!","If you ask me, I think the goblins are a shoe in.  We have the tools, and we have the talent!",2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If it weren't for that cursed, gnomish luck, they'd never win a race!","If it weren't for that cursed, gnomish luck, they'd never win a race!",2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If I were you, I'd buy a goblin race voucher.  Rooting for the other team is a waste of time.","If I were you, I'd buy a goblin race voucher.  Rooting for the other team is a waste of time.",2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
My money's on the goblins!  And if you have any sense then yours is too!,My money's on the goblins!  And if you have any sense then yours is too!,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"I heard they were going to try to blow up the gnome's car in the next race!  True or not, I'd stand clear of their pit area.","I heard they were going to try to blow up the gnome's car in the next race!  True or not, I'd stand clear of their pit area.",2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Oh, you mean Johnson?  I heard he's in hiding.","Oh, you mean Johnson?  I heard he's in hiding.",2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If it weren't for the goblins' inconceivable, dumb luck, they'd crash their car during every race!","If it weren't for the goblins' inconceivable, dumb luck, they'd crash their car during every race!",2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
These races are a great opportunity to show our ingenuity!,These races are a great opportunity to show our ingenuity!,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
I installed a new device in our car's matrix regulometer.  That should increase its velocity quotient by a factor of no less than fifteen!,I installed a new device in our car's matrix regulometer.  That should increase its velocity quotient by a factor of no less than fifteen!,2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
My son could design a faster car than that clunky goblin junk heap! ,My son could design a faster car than that clunky goblin junk heap!,2777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
My Gizmotic Almanacotron says that we should beat the goblins by twenty seconds more than we did last time!,My Gizmotic Almanacotron says that we should beat the goblins by twenty seconds more than we did last time!,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Tirth's not himself these days, and neither is his assistant.","Tirth's not himself these days, and neither is his assistant.",2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Johnson?  I think he's around here somewhere...,Johnson?  I think he's around here somewhere...,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Hah!  Tirth's been looking for him for days, but he doesn't want to be found.  He's chicken!","Hah!  Tirth's been looking for him for days, but he doesn't want to be found.  He's chicken!",2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"At last! I am finally free from this cell!$b$bThe Kirin Tor sent me from Dalaran to investigate Arugal's progress with the undead here in Silverpine Forest. Little did we know that the wizard had lost his grasp on sanity.$b$bI must report this mess at once! But before I leave, allow me to undo the magical lock on the courtyard door.$b$bYou defeated Rethilgore, perhaps you will survive what lies beyond....",,2801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
At last! Someone to free me from this cell!$b$bHigh Executor Hadrec sent us to gather information on the Keep so that a plan could be formulated to overthrow Arugal once and for all.$b$bBut the old wizard has many tricks up his sleeve and we were detected by a magical ward. I was thrown in this prison. Vincent was not so lucky.$b$bI must return to Hadrec to debrief him at once. But first I will pick the lock to the courtyard door for you. Perhaps you can try your luck against the foes that lurk beyond.,,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"I once followed the ways of the Twilight's Hammer. Obsessed with reviving the Old Gods, I journeyed deep into this lair to try to draw power from the cursed beast, Aku'mai!$b$bAfter witnessing the sacrifice of countless innocents, I came to my senses.$b$bI was trapped but now I am free! But so far from my homeland of Khaz Modan!$b$bBrave adventurer, I offer you passage to a very special land in return for slaying Aku'mai. If you wish, I can port you to the city of Darnassus.",,2807,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40618
"Welcome to my Inn, weary traveler. What can I do for you?","Welcome to my Inn, weary traveler. What can I do for you?",2821,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Rest your weary bones for a spell.,Rest your weary bones for a spell.,2824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"As the wind on the plains, you are always welcome here.","As the wind on the plains, you are always welcome here.",2825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Fill yer tankard and pull up a chair. We've stories to tell and kegs to empty.,Fill yer tankard and pull up a chair. We've stories to tell and kegs to empty.,2826,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Your body looks worn and your spirit weary. Rest yourself beneath our roof and allow Elune to guide your dreams.,Your body looks worn and your spirit weary. Rest yourself beneath our roof and allow Elune to guide your dreams.,2827,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Come in, come in. Just don't sit too close to the stove. It hasn't exploded yet today, but just to be safe I think you should sit elsewhere.","Come in, come in. Just don't sit too close to the stove. It hasn't exploded yet today, but just to be safe I think you should sit elsewhere.",2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
,"Hello $r, it is a pleasure to make your acquaintance.~",2843,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40618
,"Well, well... look what the cat brung in... and how can I help you, $c?",2861,0,0,0,0,0,0,0,0,6,0,0,0,0,0,40618
You can find the gryphon master on the northeast rampart overlooking the Valley of Heroes.,You can find the gryphon master on the northeast rampart overlooking the Valley of Heroes.,2864,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Ahhh, you are looking for Dungar Longdrink. He has some of the fastest gryphons this side of Khaz Modan! You can find him up on the ramparts in the Trade District.","Ahhh, you are looking for Dungar Longdrink. He has some of the fastest gryphons this side of Khaz Modan! You can find him up on the ramparts in the Trade District.",2876,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Lookin' to take a gryphon ride, eh? Dungar keeps his birds up on the rampart in the Trade District. Just remember to hold on tight! ","Lookin' to take a gryphon ride, eh? Dungar keeps his birds up on the rampart in the Trade District. Just remember to hold on tight! ",2877,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Gryphons, eh? Never really cared for the beasts but to each their own.~~You can find Dungar Longdrink on the rampart in the Trade District.","Gryphons, eh? Never really cared for the beasts but to each their own.~~You can find Dungar Longdrink on the rampart in the Trade District.",2878,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
You can find Aldwin Laughlin at the Stormwind Vistor's Center in the Trade District.,You can find Aldwin Laughlin at the Stormwind Vistor's Center in the Trade District.,2879,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Gonna make a guild, are ya? Good luck to ya then!~~Talk to Aldwin Laughlin in the Stormwind Vistor's Center. It's in the Trade District right as you come in from the Valley of Heroes.","Gonna make a guild, are ya? Good luck to ya then!~~Talk to Aldwin Laughlin in the Stormwind Vistor's Center. It's in the Trade District right as you come in from the Valley of Heroes.",2880,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Ahhh, Stormwind Visitor's Center is what you are looking for then. It's the first building on the left as you walk through the front gates from the Valley of Heroes.","Ahhh, Stormwind Visitor's Center is what you are looking for then. It's the first building on the left as you walk through the front gates from the Valley of Heroes.",2881,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Which class trainer are you looking for?,Which class trainer are you looking for?,2901,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
The magi congregate in the Wizard's Sanctum in the Mage Quarter. Quite a tower they have there. Makes our barracks look like peasant hovels.,The magi congregate in the Wizard's Sanctum in the Mage Quarter. Quite a tower they have there. Makes our barracks look like peasant hovels.,2903,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Oh, looking for some arcane enlightenment are you? No place better then then Wizard's Sanctum in the Mage Quarter.","Oh, looking for some arcane enlightenment are you? No place better then then Wizard's Sanctum in the Mage Quarter.",2904,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Sounds like you want to talk to Maginor Dumas! You can usually find him in the Wizard's Sanctum in the Mage Quarter. Course, you never know when or where those magi will portal off to.","Sounds like you want to talk to Maginor Dumas! You can usually find him in the Wizard's Sanctum in the Mage Quarter. Course, you never know when or where those magi will portal off to.",2905,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
You want to talk to Osborne then. No finer teacher of the stealth arts than him in Stormwind. Look for him over in Old Town.,You want to talk to Osborne then. No finer teacher of the stealth arts than him in Stormwind. Look for him over in Old Town.,2907,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Bah, rogues have done nothing but make our job here in Stormwind harder. I wish I could drag both Osborne and Mathias both out of Old Town and right to the Stockade.","Bah, rogues have done nothing but make our job here in Stormwind harder. I wish I could drag both Osborne and Mathias both out of Old Town and right to the Stockade.",2908,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Old Town is where you should go if you want to find rogues. It's in the northeast corner of Stormwind.,Old Town is where you should go if you want to find rogues. It's in the northeast corner of Stormwind.,2909,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Warriors can usually be found either at the Pig and Whistle Tavern or the Barracks in Old Town. Tell ya though, the tavern is probably a better place look.","Warriors can usually be found either at the Pig and Whistle Tavern or the Barracks in Old Town. Tell ya though, the tavern is probably a better place look.",2911,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Looking for some training, eh? I could train you better then anyone in Stormwind but the guard prohibits it. I guess you will have to settle for one of those has beens hanging out around the Barracks or at the Pig and Whistle Tavern in Old Town.","Looking for some training, eh? I could train you better then anyone in Stormwind but the guard prohibits it. I guess you will have to settle for one of those has beens hanging out around the Barracks or at the Pig and Whistle Tavern in Old Town.",2912,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Check around Old Town at the Barracks or the Pig and Whistle Tavern. If you go to the tavern, be sure to sample some of the fine brews. Puts the dwarven ales to shame, I tell ya.","Check around Old Town at the Barracks or the Pig and Whistle Tavern. If you go to the tavern, be sure to sample some of the fine brews. Puts the dwarven ales to shame, I tell ya.",2913,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Well, you can find Theridan or Maldryn by the moonwell in the Park.  Just head to the western area of Stormwind, north of the Mage District, but west of the Cathedral Square.","Well, you can find Theridan or Maldryn by the moonwell in the Park.  Just head to the western area of Stormwind, north of the Mage District, but west of the Cathedral Square.",2915,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
The Park is where you want to go if you are looking for druid trainers. Theridan and Maldryn can usually be found by the moonwell in the center of the district.,The Park is where you want to go if you are looking for druid trainers. Theridan and Maldryn can usually be found by the moonwell in the center of the district.,2916,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
A child of nature are we? Then you need look no further then the moonwell in the Park.,A child of nature are we? Then you need look no further then the moonwell in the Park.,2917,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
The Cathedral of Light in Cathedral Square is home to the priests of Stormwind. There you will find High Priestess Laurena.,The Cathedral of Light in Cathedral Square is home to the priests of Stormwind. There you will find High Priestess Laurena.,2919,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Laurena is the High Priestess of Stormwind. You can find her in the Catheral of Light in Cathedral Square.,Laurena is the High Priestess of Stormwind. You can find her in the Catheral of Light in Cathedral Square.,2920,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
I would suggest looking in the Cathedral of Light in Cathedral Square.,I would suggest looking in the Cathedral of Light in Cathedral Square.,2921,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If you are looking to become a mighty paladin, there is no better teacher then Lord Grayson Shadowbreaker. He can be found in the Cathedral of Light in Cathedral Square.","If you are looking to become a mighty paladin, there is no better teacher then Lord Grayson Shadowbreaker. He can be found in the Cathedral of Light in Cathedral Square.",2923,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Thorfin Stoneshield came to us all the way from Ironforge to bring us his expertise in hunting.  If you don't mind breathing the smoke filled air of the Dwarven District then you'll find him at his house in the northeast area of the district.,Thorfin Stoneshield came to us all the way from Ironforge to bring us his expertise in hunting.  If you don't mind breathing the smoke filled air of the Dwarven District then you'll find him at his house in the northeast area of the district.,2925,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
What? I don't know of any warlock trainers in Stormwind. ~~Although... There have been some sightings of demonic activity over by The Slaughtered Lamb in the Mage Quarter. I suppose you could check there.,What? I don't know of any warlock trainers in Stormwind. ~~Although... There have been some sightings of demonic activity over by The Slaughtered Lamb in the Mage Quarter. I suppose you could check there.,2927,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"What brings you to this part of the world, $n?","What brings you to this part of the world, $n?",2928,0,0,0,0,0,0,0,0,6,0,0,0,0,0,40618
"He grows fatter and more corrupt with each passing day. Ye can smell the stink comin' off o' his body. He be dirty, an' I dun just mean he be needin' a wash.$B$BEnough babblin' from Hulfdan. Where did ye come from and how can me help ye, $c?~",,2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Which profession trainer are you looking for?,Which profession trainer are you looking for?,2941,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If you need training in alchemy, there is only one place in Stormwind you need to go... Alchemy Needs. You can find it in the Mage Quarter along the outer rim of shops.","If you need training in alchemy, there is only one place in Stormwind you need to go... Alchemy Needs. You can find it in the Mage Quarter along the outer rim of shops.",2953,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Therum Deepforge is the dwarf you want to talk to. One of the finest blacksmiths around if you ask me. You can find him in the heart of the Dwarven District.,Therum Deepforge is the dwarf you want to talk to. One of the finest blacksmiths around if you ask me. You can find him in the heart of the Dwarven District.,2954,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"If you are looking to become a great cook, venture over to the Pig and Whistle Tavern in Old Town and talk to Stephen Ryback. That man knows how to cook up a rack of ribs like no other.~~Man... now you got me hungry for some of his famous ribs. Don't count on him teaching you that recipe though!","If you are looking to become a great cook, venture over to the Pig and Whistle Tavern in Old Town and talk to Stephen Ryback. That man knows how to cook up a rack of ribs like no other.~~Man... now you got me hungry for some of his famous ribs. Don't count on him teaching you that recipe though!",2955,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Stormwind's resident engineer trainer is an ingenious gnome by the name of Lilliam Sparkspindle. He can be found in the back of the Dwarven District.,Stormwind's resident engineer trainer is an ingenious gnome by the name of Lilliam Sparkspindle. He can be found in the back of the Dwarven District.,2956,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
The Cathedral of Light is the center of all the healing practices of Stormwind. There you can find Shaina Fuller to help you learn this craft.,The Cathedral of Light is the center of all the healing practices of Stormwind. There you can find Shaina Fuller to help you learn this craft.,2957,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
You can find Tannysa standing outside Alchemy Needs in the Mage Quarter.,You can find Tannysa standing outside Alchemy Needs in the Mage Quarter.,2958,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Want to learn leatherworking, eh? Simon Tanner would be able to teach you. He can be found in Old Town at the Protective Hide.","Want to learn leatherworking, eh? Simon Tanner would be able to teach you. He can be found in Old Town at the Protective Hide.",2959,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Gelman Stonehand would be the one to talk to. I think he has a house over in the Dwarven District but I can't remember exactly. I would check over there.,Gelman Stonehand would be the one to talk to. I think he has a house over in the Dwarven District but I can't remember exactly. I would check over there.,2961,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
You are gonna want to head over to Old Town and drop by the Protective Hide if you are lookin' to learn skinning.,You are gonna want to head over to Old Town and drop by the Protective Hide if you are lookin' to learn skinning.,2962,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Duncan's Textiles employs one of the finest tailors in Stormwind, Georgio Bolero. Look for the shop over in the Mage Quarter.","Duncan's Textiles employs one of the finest tailors in Stormwind, Georgio Bolero. Look for the shop over in the Mage Quarter.",2963,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Plucky doesn't want Tirth to know he's still in the Shimmering Flats, so he turned himself into a chicken!$B$BIf you find Plucky, beckon him to you.  Maybe he'll come out of hiding.",,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
I hope yer ready to work.,,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Welcome to the races!  Enjoy your stay, and don't bet all your money in one place!","Welcome to the races!  Enjoy your stay, and don't bet all your money in one place!",2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Hello, $c!  Welcome to the races at the Shimmering Flats!","Hello, $c!  Welcome to the races at the Shimmering Flats!",2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Who has the fastest car?  Who knows?!?,Who has the fastest car?  Who knows?!?,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"The goblin racer packs a lot of punch, but the gnomes hid a trick or two in their car...","The goblin racer packs a lot of punch, but the gnomes hid a trick or two in their car...",2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
What do you need directions to?,What do you need directions to?,2974,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Like a cat dragged in from the rain, you scratch and claw, then do it all over again... I'll be back for more...$B$BOh, I didn't see you enter, $n! What can I do for you?",,2977,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
If we are to make these new lands ours then we must have places to rest our battle weary bodies. Lay your axe by the fire and share the stories of your mighty battles.,If we are to make these new lands ours then we must have places to rest our battle weary bodies. Lay your axe by the fire and share the stories of your mighty battles.,3003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Nothing like spending a day down at Crystal Lake fishing. Arnold Leland is the man that taught me. You can usually find him out on the dock in the Canal District just fishing the day away. ~~Oh, and don't believe any of the stories he tells you about monsters in the canals either.","Nothing like spending a day down at Crystal Lake fishing. Arnold Leland is the man that taught me. You can usually find him out on the dock in the Canal District just fishing the day away. ~~Oh, and don't believe any of the stories he tells you about monsters in the canals either.",3009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Lucan Cordell has a small shop on the canal by the Stockade. I am sure he will be able to teach you the art of enchanting.,Lucan Cordell has a small shop on the canal by the Stockade. I am sure he will be able to teach you the art of enchanting.,3010,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"I walk this road alone, seeking ways to defend my honor and rid this land of our enemies.$B$BWhat can I do for you, $n?",,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Yes, I have seen the shaman you seek. Last I saw her, she was to the west of here. She hides in the hills above the Razormane tribe. If you're clever, you'll be able to find a path to her hut in the hills. It is not too far north of here. That path should allow you to find her without fighting through the quilboar.",,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
The Order of the Shattered Hand existed before Thrall and shall exist after Thrall. ,,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Zando'zan of the Shattered Hand. How can Zando'zan help you? He can't! He won't!~,,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Are you here for training?  Or are you just here to waste a warrior's time.,Are you here for training?  Or are you just here to waste a warrior's time.,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
The machine comes alive at your touch.,,3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
He'll bring you mead$bHe'll bring you beer$bA grinning face from ear to ear$bHe's served us all from year to year$bWe call him Smiling Jim.,,3161,7,0,0,0,0,0,0,0,5,11,0,0,0,0,40618
"This is an exotic sample of flora, unseen in other parts of Teldrassil.",,3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"This plant stands out among the normal flora of Teldrassil, and emits a strange, purplish glow.",,3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Salutations.  My function is to offer access to and, when permissible, insight into information regarding the Creators' synthesis of the Earthen on the world designated as Azeroth.  I am ready to share this information with you now at your leisure.",,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
